leaf_id,tree_id,length,width,number_of_veins,number_of_corners
1,1,7.9,7,5,1
2,1,8.2,7.5,7,1
3,1,9.5,7.7,8,1
4,1,8.5,6.9,6,1
5,1,6.8,6.7,5,1
6,2,11.5,12,6,5
7,2,12.5,14.5,6,5
8,2,13.5,15.5,9,5
9,2,13,15,8,5
10,2,13.2,15.9,4,5
11,3,12.2,13.4,8,5
12,3,11.2,13,7,5
13,3,13.4,13.8,6,5
14,3,14,16.1,6,5
15,3,14.2,15.2,5,5
16,4,7.5,7,6,1
17,4,6.3,7.1,7,1
18,4,7.2,8.2,5,1
19,4,6.1,7.5,6,1
20,4,7.1,5.2,8,1
21,5,6.2,5.8,3,5
22,5,4.8,5.3,3,5
23,5,5.1,4.3,4,5
24,5,5.4,4.6,5,5
25,5,6,5.2,3,5
